"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2015-06-08 16:59:06 +0100","Don't check authenticity_token for unsaved changes  When a user attempts to navigate away from the admin/editions/edit page, the GOVUK.formChangeProtection (JavaScript) module compares the edit form's initial state to its current state.  We've recently received reports about a significant number of false positives, where the user hasn't made any changes on the form but has still been warned ""You have unsaved changes..."" when navigating away from the page.  I managed to reproduce the bug on production, preview and in my development environment without trying. During my poking around, the only difference between the two form states was the value of the `authenticity_token` hidden input field.  According to @edds, > The authenticity_token is being updated to the contents of the meta tag > csrf-token. This is the code that is doing it: > https://github.com/rails/jquery-rails/blob/v3.0.4/vendor/assets/javascripts/jquery_ujs.js#L386-L391 > Not sure why they would be different though.  For now, since the token doesn't seem to be related to unsaved changes, I've removed that field from the comparison and it seems to have fixed the problem.","2635","152026","84114","28908","15154","12644","9665"
"2015-06-05 10:29:37 +0000","Update content items to be withdrawn  The naming of archiving has changed to withdrawing. Send withdrawn notices to content store rather than archive notices.","2646","152545","84634","28908","15154","12644","9664"
"2015-05-29 10:55:26 +0100","List policy areas under part_of  This commit adds the Policy Areas to the `part_of` metadata for documents.","2639","152133","84230","28908","15146","12644","9664"
"2015-05-27 17:56:29 +0100","Update test/feature names to use ""withdraw"" term","2642","152262","84359","28908","15146","12644","9664"
"2015-05-22 12:24:45 +0100","Fix sideways scrolling service priority org pages  The `.service-priority` class was including grid-row styles to contain floats, but this came with a large negative margin. This negative margin caused sideways scrolling on thin page widths.  Instead use the existing `floated-children` class on the inner block to contain the floats (and alter padding at different screen sizes) and stop extending with `grid-row`.  Outcome is a page that looks exactly the same but doesn’t sideways scroll.","2639","151972","84069","28908","15146","12644","9664"
"2015-05-19 09:18:33 +0100","Merge pull request #2180 from alphagov/policy-without-description  Remove descriptions from lists of policies","2636","151964","84051","28908","15162","12638","9664"
"2015-05-18 10:24:45 +0100","Merge pull request #2176 from alphagov/use-sassc-for-assets  Use SassC to compile Sass","2629","151824","83935","28908","15160","12616","9664"
"2015-05-14 11:25:55 +0100","Merge pull request #2167 from alphagov/remove-legacy-role-association-code  Remove old edition / role association code and data.  https://trello.com/c/Y5XdfZtw/155-clean-up-edition-and-role-association-code","2626","151717","83828","28908","15160","12616","9664"
"2015-05-11 10:47:36 +0100","Add fail fast option for minitest, use TESTOPTS=""--fail-fast""","2627","151758","83829","28913","15195","12616","9664"
"2015-05-01 18:55:19 +0100","Needs to be a view_test to assert selectors","2627","151703","83780","28907","15195","12616","9664"
"2015-05-12 10:39:49 +0100","Merge pull request #2155 from alphagov/cleanup-how-gov-works  Remove feature flagging from 'How Government Works'","2626","151771","83842","28907","15208","12616","9664"
"2015-05-07 14:13:48 +0100","Add content_register_has_policies test helper  This commit adds a new test helper for stubbing the content register with certain policies. It takes an array and returns the hash of the policies, allowing you to access the content IDs or titles.","2620","151541","83515","28907","15259","12662","9664"
"2015-04-27 17:15:17 +0100","Remove worldwide priority form from editions  As we no longer want editors to tag new content to Worldwide Priorities this commit removes the call for the form partial from each of the taggable format forms.","2623","151735","83697","28907","15272","12662","9664"
